County,State,Population,ALAND_SQMI,PopulationDensity,Temp
Hancock County,Georgia,"8,457",471.067,18,65.35
Effingham County,Georgia,"64,296",478.819,134,68.2333
Tattnall County,Georgia,"25,286",480.824,53,68.7333
Sumter County,Georgia,"29,524",482.877,61,67.4833
Brooks County,Georgia,"15,457",493.184,31,68.325
Dodge County,Georgia,"20,605",495.957,42,67.9917
Lowndes County,Georgia,"117,406",497.159,236,68.1667
Carroll County,Georgia,"119,992",499.028,240,63.325
Meriwether County,Georgia,"21,167",501.223,42,64.8083
Appling County,Georgia,"18,386",508.274,36,68.725
Floyd County,Georgia,"98,498",509.823,193,62.4833
Mitchell County,Georgia,"21,863",512.158,43,68.8333
Early County,Georgia,"10,190",512.6,20,68.7
Liberty County,Georgia,"61,435",516.47,119,69.3333
Jefferson County,Georgia,"15,362",526.551,29,66.0083
Fulton County,Georgia,"1,063,937",526.724,2020,63.7917
Thomas County,Georgia,"44,451",544.623,82,68.7083
Colquitt County,Georgia,"45,600",547.037,83,67.9167
Worth County,Georgia,"20,247",570.712,35,68.0667
Coffee County,Georgia,"43,273",592.253,73,68.6833
Decatur County,Georgia,"26,404",597.172,44,69.3833
Camden County,Georgia,"54,666",630.317,87,70.0583
Wayne County,Georgia,"29,927",641.937,47,69.1667
Screven County,Georgia,"13,966",645.771,22,67.3417
Bulloch County,Georgia,"79,608",675.951,118,68.1333
Washington County,Georgia,"20,374",678.514,30,66.1833
Emanuel County,Georgia,"22,646",680.572,33,67.2917
Charlton County,Georgia,"13,392",780.087,17,70.0417
Laurens County,Georgia,"47,546",807.33,59,67.5667
Clinch County,Georgia,"6,618",814.996,8,68.9917
Burke County,Georgia,"22,383",827.035,27,66.825
Ware County,Georgia,"35,734",899.225,40,69.4583
Kalawao County,Hawaii,86,11.991,7,75.7
Honolulu County,Hawaii,"974,563",600.571,1623,77.2
Kauai County,Hawaii,"72,293",619.884,117,74.6
Maui County,Hawaii,"167,417",1161.53,144,75.6
Hawaii County,Hawaii,"201,513",4028.449,50,74.3
Payette County,Idaho,"23,951",406.892,59,51.3167
Teton County,Idaho,"12,142",449.091,27,39.5833
Madison County,Idaho,"39,907",469.267,85,42.4667
Lewis County,Idaho,"3,838",478.822,8,44.5583
Gem County,Idaho,"18,112",559.769,32,48.6083
Canyon County,Idaho,"229,849",587.047,392,51.6417
Jerome County,Idaho,"24,412",597.471,41,48.75
Franklin County,Idaho,"13,876",663.019,21,43.475
Gooding County,Idaho,"15,179",729.321,21,48.7833
Minidoka County,Idaho,"21,039",756.996,28,45.7
Benewah County,Idaho,"9,298",776.931,12,45.3
Nez Perce County,Idaho,"40,408",848.32,48,47.8833
Bear Lake County,Idaho,"6,125",975.728,6,39.35
Ada County,Idaho,"481,587",1052.013,458,51.375
Camas County,Idaho,"1,106",1074.234,1,41.025
Latah County,Idaho,"40,108",1075.867,37,45.5917
Jefferson County,Idaho,"29,871",1093.68,27,42.925
Bannock County,Idaho,"87,808",1112.491,79,44.3917
Oneida County,Idaho,"4,531",1198.951,4,44.625
Lincoln County,Idaho,"5,366",1201.364,4,46.6167
Kootenai County,Idaho,"165,697",1237.779,134,44.9417
Boundary County,Idaho,"12,245",1268.679,10,41.0083
Adams County,Idaho,"4,294",1362.805,3,42.8917
Power County,Idaho,"7,681",1403.826,5,44.5417
Washington County,Idaho,"10,194",1452.852,7,47.175
Bonner County,Idaho,"45,739",1733.234,26,43.0417
Clark County,Idaho,845,1763.145,0,39.225
Caribou County,Idaho,"7,155",1764.194,4,40.7583
Fremont County,Idaho,"13,099",1863.96,7,39.1
Bonneville County,Idaho,"119,062",1865.982,64,41.2417
Boise County,Idaho,"7,831",1899.556,4,43.2083
Twin Falls County,Idaho,"86,878",1921.708,45,46.5917
Bingham County,Idaho,"46,811",2093.793,22,43.7
Butte County,Idaho,"2,597",2236.487,1,40.5
Clearwater County,Idaho,"8,756",2457.314,4,43.4917
Cassia County,Idaho,"24,030",2565.61,9,45.2583
Shoshone County,Idaho,"12,882",2637.425,5,42.1917
Blaine County,Idaho,"23,021",2637.737,9,41.2917
Elmore County,Idaho,"27,511",3075.079,9,47.1917
Valley County,Idaho,"11,392",3665.116,3,39.0667
Lemhi County,Idaho,"8,027",4563.693,2,38.7833
Custer County,Idaho,"4,315",4922.177,1,37.625
Owyhee County,Idaho,"11,823",7668.206,2,46.9667
Idaho County,Idaho,"16,667",8477.499,2,41.25
St. Clair County,Illinois,"259,686",657.703,395,56.0583
Putnam County,Illinois,"5,739",160.097,36,49.7083
Hardin County,Illinois,"3,821",177.389,22,57.1833
Pulaski County,Illinois,"5,335",199.316,27,58.2167
Edwards County,Illinois,"6,395",222.4,29,56.2167
Wabash County,Illinois,"11,520",223.323,52,56.0583
Alexander County,Illinois,"5,761",235.394,24,58.1917
Massac County,Illinois,"13,772",237.242,58,58.1
Scott County,Illinois,"4,951",250.79,20,52.95
Calhoun County,Illinois,"4,739",253.832,19,54.2167
Boone County,Illinois,"53,544",280.766,191,47.275
Stark County,Illinois,"5,342",288.093,19,49.4917
Brown County,Illinois,"6,578",305.727,22,52.3
Menard County,Illinois,"12,196",314.391,39,51.9917
Kendall County,Illinois,"128,990",320.238,403,49.1833
Gallatin County,Illinois,"4,828",322.99,15,56.625
DuPage County,Illinois,"922,921",327.759,2816,48.9333
Moultrie County,Illinois,"14,501",335.961,43,52.55
Johnson County,Illinois,"12,417",343.735,36,56.95
Cumberland County,Illinois,"10,766",345.944,31,53.5583
Richland County,Illinois,"15,513",360.034,43,55.2583
Pope County,Illinois,"4,177",368.854,11,57.075
Jersey County,Illinois,"21,773",369.66,59,54.425
Lawrence County,Illinois,"15,678",372.179,42,55.4833
Cass County,Illinois,"12,147",375.754,32,52.1167
Henderson County,Illinois,"6,646",378.796,18,50.5417
Saline County,Illinois,"23,491",379.99,62,56.475
Bond County,Illinois,"16,426",380.339,43,54.475
Monroe County,Illinois,"34,637",385.326,90,56.6667
Marshall County,Illinois,"11,438",386.814,30,50.1917
De Witt County,Illinois,"15,638",397.561,39,51.7083
Franklin County,Illinois,"38,469",408.921,94,56.2583
Union County,Illinois,"16,653",413.411,40,57.075
Douglas County,Illinois,"19,465",416.647,47,52.5333
Grundy County,Illinois,"51,054",418.126,122,50.0333
Williamson County,Illinois,"66,597",420.214,158,56.4167
Rock Island County,Illinois,"141,879",427.453,332,49.1833
Hamilton County,Illinois,"8,116",434.647,19,56.3333
Schuyler County,Illinois,"6,768",437.3,15,51.8917
Piatt County,Illinois,"16,344",439.188,37,51.9583
Perry County,Illinois,"20,916",441.843,47,56
Crawford County,Illinois,"18,667",443.643,42,54.7417
Lake County,Illinois,"696,535",443.9,1569,47.8417
Carroll County,Illinois,"14,305",445.406,32,47.9833
Clay County,Illinois,"13,184",468.271,28,55
Clinton County,Illinois,"37,562",473.941,79,55.5333
Effingham County,Illinois,"34,008",478.77,71,53.7667
Ford County,Illinois,"12,961",485.597,27,50.6583
Jasper County,Illinois,"9,610",494.614,19,54.375
White County,Illinois,"13,537",494.983,27,56.375
Clark County,Illinois,"15,441",501.375,31,53.65
Coles County,Illinois,"50,621",508.283,100,52.9167
Winnebago County,Illinois,"282,572",513.156,551,47.5583
Kane County,Illinois,"532,403",519.36,1025,48.0667
Woodford County,Illinois,"38,459",527.733,73,50.775
Mason County,Illinois,"13,359",539.352,25,52.1167
Warren County,Illinois,"16,844",542.384,31,49.8
Greene County,Illinois,"12,969",543.039,24,53.6833
Mercer County,Illinois,"15,437",561.24,28,49.4917
Washington County,Illinois,"13,887",562.587,25,55.6
Stephenson County,Illinois,"44,498",564.247,79,47.1
Morgan County,Illinois,"33,658",568.954,59,52.4083
Jefferson County,Illinois,"37,684",571.204,66,55.8083
Marion County,Illinois,"37,205",572.538,65,54.925
Randolph County,Illinois,"31,782",575.367,55,56.325
Macon County,Illinois,"104,009",580.576,179,52.2917
Jackson County,Illinois,"56,750",583.57,97,56.4417
McDonough County,Illinois,"29,682",589.323,50,50.95
Jo Daviess County,Illinois,"21,235",600.924,35,46.8167
McHenry County,Illinois,"307,774",603.395,510,47.4167
Logan County,Illinois,"28,618",618.056,46,52.0917
Peoria County,Illinois,"179,179",618.715,290,51.0167
Edgar County,Illinois,"17,161",623.324,28,52.3333
DeKalb County,Illinois,"104,897",631.337,166,47.8167
Tazewell County,Illinois,"131,803",646.465,204,51.725
Kankakee County,Illinois,"109,862",676.495,162,50.2417
Whiteside County,Illinois,"55,175",684.099,81,48.725
Montgomery County,Illinois,"28,414",703.759,40,53.1833
Christian County,Illinois,"32,304",709.49,46,52.7083
Wayne County,Illinois,"16,215",713.83,23,56.1917
Madison County,Illinois,"262,966",715.506,368,54.975
Knox County,Illinois,"49,699",716.385,69,49.7333
Fayette County,Illinois,"21,336",716.439,30,53.85
Lee County,Illinois,"34,096",724.787,47,48.35
Shelby County,Illinois,"21,634",758.51,29,52.9417
Ogle County,Illinois,"50,643",758.654,67,48.05
Hancock County,Illinois,"17,708",793.748,22,51.575
Henry County,Illinois,"48,913",823.053,59,49.0917
Pike County,Illinois,"15,561",831.352,19,53.15
Will County,Illinois,"690,743",835.871,826,49.7417
Adams County,Illinois,"65,435",855.141,77,52.475
Macoupin County,Illinois,"44,926",862.974,52,53.4083
Fulton County,Illinois,"34,340",865.693,40,51.3417
Sangamon County,Illinois,"194,672",868.268,224,52.275
Bureau County,Illinois,"32,628",869.091,38,48.9083
Vermilion County,Illinois,"75,758",898.319,84,51.3667
Cook County,Illinois,"5,150,233",944.93,5450,49.3833
Champaign County,Illinois,"209,689",996.113,211,51.6333
Livingston County,Illinois,"35,648",1043.628,34,49.975
Iroquois County,Illinois,"27,114",1117.395,24,50.8833
LaSalle County,Illinois,"108,669",1135.168,96,49.2917
McLean County,Illinois,"171,517",1183.249,145,50.8583
St. Joseph County,Indiana,"271,826",457.894,594,48.9833
Ohio County,Indiana,"5,875",86.15,68,55.8667
Floyd County,Indiana,"78,522",147.965,531,56.9167
Union County,Indiana,"7,054",161.19,44,52.5917
Blackford County,Indiana,"11,758",165.082,71,51.7167
Scott County,Indiana,"23,873",190.401,125,55.7417
Fayette County,Indiana,"23,102",215.021,107,52.55
Switzerland County,Indiana,"10,751",220.667,49,56.225
Vanderburgh County,Indiana,"181,451",233.675,777,56.775
Vermillion County,Indiana,"15,498",256.864,60,51.9167
Tipton County,Indiana,"15,148",260.541,58,51.1667
Howard County,Indiana,"82,544",293.074,282,50.775
Dearborn County,Indiana,"49,458",305.087,162,54.8
Crawford County,Indiana,"10,577",305.613,35,55.3417
Hancock County,Indiana,"78,168",305.957,255,52.5667
Steuben County,Indiana,"34,594",308.777,112,48.375
Starke County,Indiana,"22,995",309.144,74,49.575
Brown County,Indiana,"15,092",311.987,48,53.4083
Johnson County,Indiana,"158,167",320.444,494,52.9917
Pike County,Indiana,"12,389",334.302,37,55.75
Whitley County,Indiana,"33,964",335.582,101,49.8417
Martin County,Indiana,"10,255",335.761,31,54.825
Adams County,Indiana,"35,777",338.926,106,50.9667
Clay County,Indiana,"26,225",357.602,73,53.575
Jefferson County,Indiana,"32,308",360.639,90,55.7083
DeKalb County,Indiana,"43,475",362.833,120,49.05
Warren County,Indiana,"8,265",364.69,23,50.8417
Wells County,Indiana,"28,296",368.087,77,50.975
Fulton County,Indiana,"19,974",368.393,54,49.8417
Carroll County,Indiana,"20,257",372.225,54,50.7833
Decatur County,Indiana,"26,559",372.568,71,53.525
Clark County,Indiana,"118,302",372.838,317,56.8
Miami County,Indiana,"35,516",373.842,95,50.575
Jennings County,Indiana,"27,735",376.597,74,54.7917
LaGrange County,Indiana,"39,614",379.63,104,48.8667
Perry County,Indiana,"19,169",381.74,50,55.6333
Huntington County,Indiana,"36,520",382.649,95,50.65
Jay County,Indiana,"20,436",383.905,53,51.4417
Franklin County,Indiana,"22,758",384.426,59,53.4
Warrick County,Indiana,"62,998",384.814,164,56.4583
Owen County,Indiana,"20,799",385.296,54,53.3833
Henry County,Indiana,"47,972",391.88,122,52
Delaware County,Indiana,"114,135",392.101,291,52.5667
Hamilton County,Indiana,"338,011",394.347,857,51.7167
Monroe County,Indiana,"148,431",394.522,376,53.1833
Fountain County,Indiana,"16,346",395.668,41,51.2
Marion County,Indiana,"964,582",396.569,2432,52.4
Spencer County,Indiana,"20,277",396.768,51,56.2833
Orange County,Indiana,"19,646",398.378,49,54.7917
Wayne County,Indiana,"65,884",401.754,164,51.85
Newton County,Indiana,"13,984",401.755,35,50.2917
Vigo County,Indiana,"107,038",403.55,265,53.8083
Morgan County,Indiana,"70,489",403.84,175,52.75
Clinton County,Indiana,"32,399",405.067,80,50.925
Benton County,Indiana,"8,748",406.418,22,50.3167
Hendricks County,Indiana,"170,311",406.894,419,51.7417
Bartholomew County,Indiana,"83,779",406.955,206,54.25
Rush County,Indiana,"16,581",408.124,41,52.6917
Posey County,Indiana,"25,427",409.369,62,56.4583
Noble County,Indiana,"47,744",410.844,116,49.2333
Shelby County,Indiana,"44,729",411.139,109,53.4333
Cass County,Indiana,"37,689",412.155,91,50.4167
Wabash County,Indiana,"30,996",412.538,75,50.6167
Grant County,Indiana,"65,769",414.089,159,51.5
Porter County,Indiana,"170,389",418.084,408,49.2667
Boone County,Indiana,"67,843",422.912,160,51.15
Dubois County,Indiana,"42,736",427.265,100,55.3667
Daviess County,Indiana,"33,351",429.499,78,55.2583
Pulaski County,Indiana,"12,353",433.675,28,49.825
Marshall County,Indiana,"46,258",443.62,104,49.425
Parke County,Indiana,"16,937",444.721,38,51.625
Ripley County,Indiana,"28,324",446.423,63,54.125
Sullivan County,Indiana,"20,669",447.172,46,54.825
Lawrence County,Indiana,"45,370",449.179,101,54.1333
Madison County,Indiana,"129,569",451.92,287,52.4583
Randolph County,Indiana,"24,665",452.379,55,51.6333
Elkhart County,Indiana,"206,341",463.17,445,49.1583
Putnam County,Indiana,"37,576",480.537,78,51.7667
Harrison County,Indiana,"40,515",484.516,84,56.6167
Gibson County,Indiana,"33,659",487.422,69,56.1583
Lake County,Indiana,"485,493",498.789,973,49.5417
Tippecanoe County,Indiana,"195,732",498.907,392,50.925
Montgomery County,Indiana,"38,338",504.647,76,51.175
White County,Indiana,"24,102",505.14,48,50.275
Jackson County,Indiana,"44,231",509.974,87,54.6917
Washington County,Indiana,"28,036",513.691,55,55.125
Knox County,Indiana,"36,594",516.02,71,55.5333
Kosciusko County,Indiana,"79,456",531.436,150,49.6167
Greene County,Indiana,"31,922",542.467,59,54.275
Jasper County,Indiana,"33,562",559.68,60,49.9083
LaPorte County,Indiana,"109,888",598.27,184,49.0917
Allen County,Indiana,"379,299",657.32,577,50.3583
Dickinson County,Iowa,"17,258",380.52,45,43.4833
Emmet County,Iowa,"9,208",395.89,23,43.3167
Osceola County,Iowa,"5,958",398.687,15,43.175
Worth County,Iowa,"7,381",400.123,18,43.3667
Winnebago County,Iowa,"10,354",400.489,26,43.475
Louisa County,Iowa,"11,035",401.772,27,49.125
Des Moines County,Iowa,"38,967",416.129,94,50.0583
Adams County,Iowa,"3,602",423.433,9,48.3583
Union County,Iowa,"12,241",423.645,29,48.3583
Montgomery County,Iowa,"9,917",424.097,23,49.175
Lucas County,Iowa,"8,600",430.603,20,48.9583
Clarke County,Iowa,"9,395",431.167,22,49.0417
Ida County,Iowa,"6,860",431.508,16,45.9917
Wapello County,Iowa,"34,969",431.837,81,49.6333
Monroe County,Iowa,"7,707",433.717,18,49.2667
Henry County,Iowa,"19,954",434.287,46,48.8333
Humboldt County,Iowa,"9,558",434.371,22,45.15
Bremer County,Iowa,"25,062",435.479,58,45.325
Jefferson County,Iowa,"18,295",435.523,42,48.6417
Mills County,Iowa,"15,109",437.432,35,49.675
Muscatine County,Iowa,"42,664",437.445,98,48.3417
Audubon County,Iowa,"5,496",442.961,12,46.8833
Scott County,Iowa,"172,943",458.086,378,48.6583
Mitchell County,Iowa,"10,586",469.133,23,43.5583
Howard County,Iowa,"9,158",473.247,19,43.15
Van Buren County,Iowa,"7,044",484.808,15,49.2667
Appanoose County,Iowa,"12,426",497.291,25,49.6167
Floyd County,Iowa,"15,642",500.601,31,44.5333
Grundy County,Iowa,"12,232",501.855,24,46
Davis County,Iowa,"9,000",502.188,18,49.95
Chickasaw County,Iowa,"11,933",504.324,24,44.1583
Fremont County,Iowa,"6,960",511.167,14,50.0917
Lee County,Iowa,"33,657",517.55,65,50.5667
Wayne County,Iowa,"6,441",525.49,12,49.2167
Decatur County,Iowa,"7,870",531.882,15,49.825
Taylor County,Iowa,"6,121",531.902,12,49.375
Page County,Iowa,"15,107",534.944,28,50
Ringgold County,Iowa,"4,894",535.498,9,49.45
Marion County,Iowa,"33,253",554.489,60,48.7833
Madison County,Iowa,"16,338",561.006,29,48.2417
Palo Alto County,Iowa,"8,886",563.864,16,44.6167
Cass County,Iowa,"12,836",564.258,23,48.1
Black Hawk County,Iowa,"131,228",565.768,232,45.7917
Clay County,Iowa,"16,016",567.238,28,44.5833
Cerro Gordo County,Iowa,"42,450",568.3,75,44.425
Washington County,Iowa,"21,965",568.812,39,48.5833
Adair County,Iowa,"7,152",569.271,13,47.575
Hardin County,Iowa,"16,846",569.31,30,45.95
Carroll County,Iowa,"20,165",569.437,35,46.8917
Greene County,Iowa,"8,888",569.618,16,47.075
Warren County,Iowa,"51,466",569.838,90,48.8667
Calhoun County,Iowa,"9,668",569.846,17,46.1
Mahaska County,Iowa,"22,095",570.859,39,48.8667
Hancock County,Iowa,"10,630",571.005,19,44.325
Buchanan County,Iowa,"21,175",571.08,37,44.9917
Boone County,Iowa,"26,234",571.558,46,47.175
Polk County,Iowa,"490,161",572.213,857,48.2667
Marshall County,Iowa,"39,369",572.503,69,46.875
Story County,Iowa,"97,117",572.544,170,47.0833
O'Brien County,Iowa,"13,753",573.035,24,44.2083
Buena Vista County,Iowa,"19,620",574.899,34,45.0833
Sac County,Iowa,"9,721",575.022,17,46.1333
Jones County,Iowa,"20,681",575.618,36,47.5
Hamilton County,Iowa,"14,773",576.753,26,45.6833
Cherokee County,Iowa,"11,235",576.907,19,44.9417
Pocahontas County,Iowa,"6,619",577.241,11,45.1417
Delaware County,Iowa,"17,011",577.682,29,45.7167
Keokuk County,Iowa,"10,246",579.181,18,48.6833
Cedar County,Iowa,"18,627",579.462,32,47.6917
Butler County,Iowa,"14,439",580.138,25,45.4
Wright County,Iowa,"12,562",580.415,22,44.9417
Franklin County,Iowa,"10,070",581.972,17,45.1917
Poweshiek County,Iowa,"18,504",584.924,32,47.6833
Iowa County,Iowa,"16,184",586.455,28,47.675
Lyon County,Iowa,"11,755",587.65,20,43.8917
Dallas County,Iowa,"93,453",588.32,159,48.0167
Guthrie County,Iowa,"10,689",590.62,18,47.5083
Shelby County,Iowa,"11,454",590.779,19,47.35
Dubuque County,Iowa,"97,311",608.299,160,46.2667
Johnson County,Iowa,"151,140",612.991,247,47.7333
Jackson County,Iowa,"19,439",636.043,31,47.725
Allamakee County,Iowa,"13,687",639.044,21,44.9583
Winneshiek County,Iowa,"19,991",689.836,29,43.8917
Monona County,Iowa,"8,615",694.072,12,47.3083
Clinton County,Iowa,"46,429",694.914,67,48.4833
Harrison County,Iowa,"14,049",696.843,20,48.0833
Crawford County,Iowa,"16,820",714.19,24,46.9417
Webster County,Iowa,"35,904",715.709,50,45.7583
Benton County,Iowa,"25,645",716.102,36,45.7167
Linn County,Iowa,"226,706",717.078,316,46.425
Tama County,Iowa,"16,854",721.011,23,46.4083
Jasper County,Iowa,"37,185",730.413,51,48.0333
Fayette County,Iowa,"19,650",730.83,27,44.35
Sioux County,Iowa,"34,855",767.914,45,44.5417
Clayton County,Iowa,"17,549",778.496,23,45.375
Plymouth County,Iowa,"25,177",862.828,29,45.5667
Woodbury County,Iowa,"103,107",872.896,118,46.5583
Pottawattamie County,Iowa,"93,206",950.511,98,48.825
Kossuth County,Iowa,"14,813",972.731,15,44.125
Wyandotte County,Kansas,"165,429",151.638,1091,54.3583
Geary County,Kansas,"31,670",384.663,82,53.8583
Doniphan County,Kansas,"7,600",393.479,19,52.4667
Atchison County,Kansas,"16,073",431.174,37,52.8167
Douglas County,Kansas,"122,259",455.765,268,54.4417
Leavenworth County,Kansas,"81,758",463.405,176,54.1
Johnson County,Kansas,"602,401",473.619,1272,54.1917
Woodson County,Kansas,"3,138",497.819,6,55.475
Allen County,Kansas,"12,369",500.297,25,55.4917
Jefferson County,Kansas,"19,043",532.57,36,53.7083
Harvey County,Kansas,"34,429",539.756,64,55.6583
Shawnee County,Kansas,"176,875",544.023,325,54.2333
Wilson County,Kansas,"8,525",570.422,15,56.4417
Brown County,Kansas,"9,564",570.871,17,52.05
Neosho County,Kansas,"16,007",571.481,28,56.1333
Franklin County,Kansas,"25,544",571.772,45,54.7333
Grant County,Kansas,"7,150",574.808,12,54.2333
Miami County,Kansas,"34,237",575.879,59,54.6333
Haskell County,Kansas,"3,968",577.521,7,54.2667
Anderson County,Kansas,"7,858",579.645,14,54.95
Cherokee County,Kansas,"19,939",587.567,34,57.3333
Crawford County,Kansas,"38,818",589.771,66,56.4583
Linn County,Kansas,"9,703",594.081,16,55.35
Riley County,Kansas,"74,232",609.7,122,53.3583
Edwards County,Kansas,"2,798",621.894,4,54.3833
Coffey County,Kansas,"8,179",626.885,13,54.8167
Bourbon County,Kansas,"14,534",635.471,23,55.6667
Chautauqua County,Kansas,"3,250",638.881,5,56.775
Seward County,Kansas,"21,428",639.653,33,55.2667
Montgomery County,Kansas,"31,829",643.594,49,57.325
Elk County,Kansas,"2,530",644.264,4,55.8833
Clay County,Kansas,"8,002",645.298,12,53.3583
Labette County,Kansas,"19,618",645.393,30,57.175
Jackson County,Kansas,"13,171",656.219,20,52.6917
Stanton County,Kansas,"2,006",680.352,3,54.0333
Morris County,Kansas,"5,620",695.343,8,53.625
Mitchell County,Kansas,"5,979",701.792,9,52.375
Osage County,Kansas,"15,949",705.506,23,54.5917
Cloud County,Kansas,"8,786",715.342,12,52.7833
Ellsworth County,Kansas,"6,102",715.575,9,54
Republic County,Kansas,"4,636",717.377,6,51.775
Lane County,Kansas,"1,535",717.409,2,52.7583
Nemaha County,Kansas,"10,231",717.427,14,51.2333
Scott County,Kansas,"4,823",717.585,7,52.6583
Rush County,Kansas,"3,036",717.763,4,53.0917
Wichita County,Kansas,"2,119",718.566,3,52.2167
Lincoln County,Kansas,"2,962",719.396,4,53.475
Saline County,Kansas,"54,224",720.242,75,54.6583
Ottawa County,Kansas,"5,704",720.73,8,53.9
Kiowa County,Kansas,"2,475",722.64,3,55.1667
Rice County,Kansas,"9,537",726.234,13,54.1667
Stevens County,Kansas,"5,485",727.26,8,55.1
Morton County,Kansas,"2,587",729.731,4,54.825
Pratt County,Kansas,"9,164",735.039,12,54.8917
Pawnee County,Kansas,"6,414",754.263,9,53.5167
Chase County,Kansas,"2,648",773.054,3,53.9583
Greeley County,Kansas,"1,232",778.404,2,51.6833
Comanche County,Kansas,"1,700",788.298,2,56.625
Stafford County,Kansas,"4,156",792.046,5,53.775
Wabaunsee County,Kansas,"6,931",794.336,9,53.7
Harper County,Kansas,"5,436",801.274,7,56.7667
Pottawatomie County,Kansas,"24,383",840.74,29,52.75
Dickinson County,Kansas,"18,466",847.067,22,54.2917
Lyon County,Kansas,"33,195",847.486,39,54.0833
Hodgeman County,Kansas,"1,794",859.992,2,54.225
Kingman County,Kansas,"7,152",863.419,8,55.5417
Gray County,Kansas,"5,988",868.867,7,54
Kearny County,Kansas,"3,838",870.543,4,53.3583
Norton County,Kansas,"5,361",878.044,6,50.8083
Phillips County,Kansas,"5,234",885.871,6,51.3917
Russell County,Kansas,"6,856",886.26,8,53.4333
Trego County,Kansas,"2,803",889.474,3,52.4333
Rooks County,Kansas,"4,920",890.527,6,52.2333
Osborne County,Kansas,"3,421",892.516,4,52.3333
Decatur County,Kansas,"2,827",893.517,3,50.8583
Washington County,Kansas,"5,406",894.76,6,51.6333
Barton County,Kansas,"25,779",895.257,29,53.15
Smith County,Kansas,"3,583",895.464,4,51.4083
Sheridan County,Kansas,"2,521",895.957,3,51.7167
McPherson County,Kansas,"28,542",898.285,32,54.8917
Graham County,Kansas,"2,482",898.527,3,51.9667
Ellis County,Kansas,"28,553",899.912,32,52.8583
Marshall County,Kansas,"9,707",900.175,11,51.3
Jewell County,Kansas,"2,879",909.971,3,51.7
Wallace County,Kansas,"1,518",913.652,2,51.5417
Marion County,Kansas,"11,884",944.299,13,54.5917
Clark County,Kansas,"1,994",974.638,2,56.2083
Meade County,Kansas,"4,033",978.083,4,55.4583
Hamilton County,Kansas,"2,539",996.514,3,53
Sedgwick County,Kansas,"516,042",996.928,518,56.3917
Cheyenne County,Kansas,"2,657",1019.89,3,50.675
Sherman County,Kansas,"5,917",1056.064,6,50.9667
Rawlins County,Kansas,"2,530",1069.416,2,50.6583
Gove County,Kansas,"2,636",1071.666,2,52.175
Logan County,Kansas,"2,794",1072.993,3,52.0583
Thomas County,Kansas,"7,777",1074.686,7,51.1333
Ness County,Kansas,"2,750",1074.739,3,53.3333
Ford County,Kansas,"33,619",1098.271,31,54.6
Cowley County,Kansas,"34,908",1125.738,31,56.275
Barber County,Kansas,"4,427",1134.075,4,56.525
Greenwood County,Kansas,"5,982",1143.304,5,55.1167
Sumner County,Kansas,"22,836",1181.655,19,57
Reno County,Kansas,"61,998",1255.308,49,54.9583
Finney County,Kansas,"36,467",1301.997,28,53.5
Butler County,Kansas,"66,911",1429.666,47,55.6417
Gallatin County,Kentucky,"8,869",98.341,90,56.775
Robertson County,Kentucky,"2,108",99.921,21,55.6
Carroll County,Kentucky,"10,631",128.57,83,56.8917
Campbell County,Kentucky,"93,584",151.34,618,55.9167
Trimble County,Kentucky,"8,471",151.648,56,56.6083
Boyd County,Kentucky,"46,718",159.867,292,56.775
Kenton County,Kentucky,"166,998",160.29,1042,55.8083
Jessamine County,Kentucky,"54,115",172.165,314,57.0917
Powell County,Kentucky,"12,359",178.981,69,56.775
Boyle County,Kentucky,"30,060",180.35,167,56.625
Spencer County,Kentucky,"19,351",186.723,104,57.1583
Oldham County,Kentucky,"66,799",187.242,357,56.8917
Hancock County,Kentucky,"8,722",187.673,46,56.4167
Carlisle County,Kentucky,"4,760",189.44,25,58.8583
Woodford County,Kentucky,"26,734",190.111,141,57.175
Nicholas County,Kentucky,"7,269",195.161,37,55.7917
Clinton County,Kentucky,"10,218",197.25,52,59.3833
Montgomery County,Kentucky,"28,157",197.349,143,56.2917
Owsley County,Kentucky,"4,415",197.41,22,57.6417
Anderson County,Kentucky,"22,747",202.166,113,57.05
Bracken County,Kentucky,"8,303",202.717,41,55.475
Menifee County,Kentucky,"6,489",203.585,32,55.9417
Fulton County,Kentucky,"5,969",205.931,29,58.95
Franklin County,Kentucky,"50,991",207.841,245,57.25
Lee County,Kentucky,"7,403",208.859,35,57.3833
Lyon County,Kentucky,"8,210",213.842,38,58.5417
Wolfe County,Kentucky,"7,157",222.171,32,56.6833
Martin County,Kentucky,"11,195",229.618,49,57.7667
Garrard County,Kentucky,"17,666",230.099,77,57.1333
Simpson County,Kentucky,"18,572",234.205,79,58.975
Elliott County,Kentucky,"7,517",234.319,32,55.9167
Mason County,Kentucky,"17,070",240.126,71,55.1583
Hickman County,Kentucky,"4,380",242.274,18,58.825
Boone County,Kentucky,"133,581",246.284,542,55.8917
Ballard County,Kentucky,"7,888",246.869,32,58.6917
McCracken County,Kentucky,"65,418",248.723,263,58.7833
Mercer County,Kentucky,"21,933",249.061,88,56.9333
Clark County,Kentucky,"36,263",252.487,144,56.7
McLean County,Kentucky,"9,207",252.527,36,58.1167
Estill County,Kentucky,"14,106",253.094,56,57.325
Russell County,Kentucky,"17,923",253.692,71,59.075
Grant County,Kentucky,"25,069",257.977,97,56.25
