Location ID,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
IA-093,Ida County,19.5,13,30.3,48,55.2,69.2,74,69.1,67.9,46.4,32,27.3
IA-095,Iowa County,19.2,17.6,32.4,49.6,57.5,69.4,76.2,69.8,68.7,47.5,32.8,31.4
IA-097,Jackson County,18.6,19.4,32.5,48.5,57.6,68.8,76.9,69.8,68,48.9,32.1,31.6
IA-099,Jasper County,19.7,16.9,32.3,51,57.6,70,76.3,70.4,69.2,48.1,33.5,31.4
IA-101,Jefferson County,20.3,19.7,34.2,50.2,57.8,69.8,76.6,70.4,69,48.1,34.8,32.8
IA-103,Johnson County,18.1,18.5,32.6,49.6,57.9,69.4,76.7,69.9,68.6,47.4,32.7,31.4
IA-105,Jones County,18.8,18.7,32.2,49.1,57.5,68.6,76.5,69.6,68.2,48,31.7,31.1
IA-107,Keokuk County,20.2,18.7,34,50.9,58,70.4,76.5,70.5,69.6,48.3,34.6,32.5
IA-109,Kossuth County,15.1,10,27.1,47,54.1,68.6,73.7,68.4,66.7,45.1,29.9,23.8
IA-111,Lee County,22.7,23.6,36.3,51.6,60,70.7,77.7,72.3,70.7,50.8,36,34.4
IA-113,Linn County,16.5,16.5,31.1,48.7,57,68,75.4,69,67.6,46.4,31.1,29.8
IA-115,Louisa County,21,21,34.5,49.6,58.3,70.6,77.6,71.5,69.2,49.7,33.8,32.7
IA-117,Lucas County,21.8,18.5,34.1,51.7,58.3,70.3,76.2,71,70.2,48.7,34.7,32
IA-119,Lyon County,15.9,9.6,28.1,45.6,53.7,69.1,73.6,68.6,65.6,44.3,30.5,22.1
IA-121,Madison County,20.6,16.4,32.5,51.5,57.4,70.1,75.9,70.5,69.8,47.8,34.4,32
IA-123,Mahaska County,20.5,18.7,34,51.6,58.3,70.5,76.2,70.7,70,48.9,34.6,32.4
IA-125,Marion County,21.1,17.8,33.6,51.6,58.2,70.3,76.4,70.7,70,49,34.5,32.2
IA-127,Marshall County,17.9,15.5,31.2,49.7,56.8,69.2,75.2,69.3,68.2,47.3,32,30.2
IA-129,Mills County,23.4,17.1,33.9,53.2,59.3,71.8,76.7,72.9,71.2,48.8,35.8,32
IA-131,Mitchell County,14.2,11.3,27.1,45.7,54.1,66.9,72.9,67.1,65.3,44.4,28.8,24.9
IA-133,Monona County,21.6,14.2,31.5,49.5,56.4,70.2,74.9,70.6,69.3,47.1,33.7,28.7
IA-135,Monroe County,21.7,19.7,34.6,51.9,58.5,70.5,76.2,71,70.2,49.1,35,32.8
IA-137,Montgomery County,23,16.9,33.6,52.5,58.5,70.9,76.2,72.1,70.5,48.7,35.1,32.1
IA-139,Muscatine County,19.1,20.1,33.8,48.7,57.9,70.2,77.4,70.9,68.6,48.8,32.7,31.9
IA-141,O'Brien County,16.2,10.2,28.2,46.5,54.2,69,73.2,68.5,66.4,44.4,30.5,23.2
IA-143,Osceola County,14.5,8.7,27.1,45.2,53.1,68.4,73,68.2,65.6,43.8,29.3,21.2
IA-145,Page County,23.9,18.2,34.3,53.4,59.2,71.5,76.7,72.8,71.3,49.5,36.2,33
IA-147,Palo Alto County,16.1,10.1,28.6,47.7,54.9,69,73.8,68.5,67.2,45.8,30.5,23.2
IA-149,Plymouth County,19.1,12.1,30.5,47.3,55.3,69.9,73.9,69.4,67.6,45,31.7,25
IA-151,Pocahontas County,16.8,11.1,29.1,47.7,55.3,69.2,73.8,68.3,67.2,46.5,31.4,25.3
IA-153,Polk County,20.1,16.8,32.8,51.4,58.2,70.5,76,70.8,69.6,47.8,33.8,31.4
IA-155,Pottawattamie County,22.5,15.8,33.1,52.2,58.5,71.4,75.9,72.1,70.4,48.1,35,30.9
IA-157,Poweshiek County,19.2,16.6,32.1,50.3,57.4,69.8,75.8,69.8,68.8,47.9,33.1,31.4
IA-159,Ringgold County,22.4,18.6,34.1,52.5,58.3,70.6,76.5,71.8,71,49.1,35.4,33.1
IA-161,Sac County,18.8,12.7,30.1,48.5,55.6,69.7,74.5,69.2,68.2,46.8,31.9,27.6
IA-163,Scott County,18.7,21.5,33.7,49.3,58.4,70,77.2,71,69.2,49.7,33.1,32.1
IA-165,Shelby County,21.2,14.4,31.5,50.2,57,69.9,74.4,70.1,68.8,47.5,33.3,29.9
IA-167,Sioux County,17.2,10.8,28.8,46.5,54.5,69.4,73.4,69,66.4,44.5,30.8,23.2
IA-169,Story County,18.5,15.2,31.3,50.2,57.5,69.7,75,69.7,68.7,47.1,32.4,29.7
IA-171,Tama County,17.6,15,30.7,48.8,56.5,68.7,74.8,68.6,67.8,47,31.4,30
IA-173,Taylor County,23.1,18,33.9,52.6,58.4,70.6,76.2,71.8,70.7,49,35.5,32.7
IA-175,Union County,21.2,16.4,32.7,51.7,57.2,69.8,75.7,70.7,70.2,48,34.5,32.2
IA-177,Van Buren County,21.7,21.5,34.4,50.7,58.5,69.9,76.7,70.8,69.6,48.8,35.4,33.2
IA-179,Wapello County,21.3,20.9,35.2,52.1,59,70.9,76.7,71.3,70.6,48.8,35.6,33.2
IA-181,Warren County,21,17.2,33.6,51.9,58.2,70.8,76.7,71.2,70.3,48.5,34.7,32.3
IA-183,Washington County,20.2,19.3,33.9,50,57.9,70,77.1,70.6,69.1,48.2,34.1,32.6
IA-185,Wayne County,22.4,20.2,34.2,52,58.5,70.3,76.1,71,70.2,48.5,34.9,32.3
IA-187,Webster County,17.5,12.8,30.1,48.7,56.3,68.8,73.7,68.1,67.3,46.4,31.7,27.7
IA-189,Winnebago County,14.2,10.1,27,46.1,53.7,67.6,72.9,67.1,65.9,44.7,28.9,23.5
IA-191,Winneshiek County,13.9,13.1,27,45.5,54.3,66.2,73.4,67.1,65.4,45.3,28.9,26.6
IA-193,Woodbury County,20.8,13.5,31.4,48.4,55.8,69.9,74.3,70,68.6,46,32.9,27.1
IA-195,Worth County,13.9,10.4,26.8,45.9,54.1,67.2,72.6,66.8,65.5,44.4,28.8,24
IA-197,Wright County,16.4,12.1,28.8,48.3,55.2,67.9,73.6,67.9,66.7,45.5,30.5,26.4
KS-001,Allen County,32.4,32,42.1,57.4,63.6,73.5,77.8,76.3,76.2,54.2,41.2,39.2
KS-003,Anderson County,31.2,30.1,41.2,57.2,63.2,73.5,78,76.2,75.8,53.5,40.8,38.7
KS-005,Atchison County,27.7,25,38,55.8,61.6,72.8,77.8,75.1,73.6,51.6,39,35.8
KS-007,Barber County,35,32.7,43.2,57.5,62.8,74.3,80.2,80.2,78.1,53.2,43,38.1
KS-009,Barton County,30.8,26.7,38.6,54.7,59.3,71.8,78.4,77,75.2,49.8,39.6,35.9
KS-011,Bourbon County,32.2,32.9,42.2,57.5,64.3,73.3,77.9,76.4,76.3,54.4,41.2,39.4
KS-013,Brown County,26.6,22.9,37,55.2,61.1,72.6,77.4,74.6,73.2,50.7,38.5,34.8
KS-015,Butler County,32.3,31.6,42.4,57.2,63,73.8,78.9,78,77,53.8,41.5,38.2
KS-017,Chase County,30.5,28.5,39.8,56.1,61.9,72.8,77.5,76.2,74.9,52.5,39.8,37
KS-019,Chautauqua County,33.8,34.6,43.8,58.8,65.2,73.3,78.6,77.9,77,55,42.9,40.4
KS-021,Cherokee County,34.9,36.7,44.2,58.6,66.1,74.1,78.6,77.7,77.6,55.7,43.4,40.4
KS-023,Cheyenne County,32.4,24.1,35.8,51.5,54.4,68.9,77.4,74.6,70.4,46.3,37.8,34.5
KS-025,Clark County,35.2,32.5,42.4,56.8,62,73.1,80.3,81.2,77.7,52.4,42.3,38.6
KS-027,Clay County,29.6,24.8,38.1,55.6,60.9,73.5,79,76.3,75.8,51.6,39.7,35.4
KS-029,Cloud County,29,23.6,37.4,55.2,60,72.8,79,76,75,50.7,39.7,35
KS-031,Coffey County,31.5,29.9,41.3,57.3,63.1,73.4,77.7,76.1,75.5,52.9,40.6,38.5
KS-033,Comanche County,35.7,33.2,42.9,57.6,62.4,73.8,80.3,80.8,78,52.9,43.2,38.7
KS-035,Cowley County,33.6,33.9,43.5,57.9,63.6,73.3,78.6,77.9,77,54,42.7,39.3
KS-037,Crawford County,33.3,34.5,43.1,58,65.2,73.6,78.4,77,77,55.1,42.4,39.9
KS-039,Decatur County,29.3,22,36.3,53,55.8,70,77.5,74.4,71.9,48.2,38.1,33.8
KS-041,Dickinson County,30.6,27,39.5,56.5,62.1,73.9,79.4,77,76.4,52.1,40.7,36.3
KS-043,Doniphan County,26.9,24,37.7,55.8,61.3,72.7,77.6,74.7,73.2,51,38.7,36
KS-045,Douglas County,29.9,29.2,40.3,56.9,62.7,73.8,78.5,76,75.4,52.5,40.8,37.3
KS-047,Edwards County,33.3,29.6,40.3,55.2,59.8,71.7,78.8,78.8,76.7,50.4,40.7,37.3
KS-049,Elk County,33.1,33,42.7,57.7,64.1,73.4,77.8,77.5,76,54.2,41.9,39.2
KS-051,Ellis County,30.4,25.2,37.6,54.7,59,72,79.1,76.7,75,49.7,39.2,35.7
KS-053,Ellsworth County,31.6,26.8,39.2,55.5,60.4,72.9,79.4,77.6,76.1,51.4,40.6,36.5
KS-055,Finney County,31.2,27.7,38.2,54.8,59,71.7,79,78.8,75.7,49.5,40.1,36.3
KS-057,Ford County,33.5,29.8,40.2,55.4,60.1,71.9,79.2,79.6,76.7,50.5,41,37.3
KS-059,Franklin County,30.8,29.7,40.8,56.7,63,73.6,78.2,76.1,75.4,53.4,40.9,38.2
KS-061,Geary County,30.1,26.6,39.1,56.2,61.9,73.2,78.6,76.3,75.8,52.1,40.2,36.2
KS-063,Gove County,29.6,24.4,37.2,53.9,57.4,71,78.8,76.5,74.2,49.2,38.4,35.5
KS-065,Graham County,29.4,23.6,36.9,53.9,57.7,71.3,78.7,75.8,73.6,49.1,38.5,35.1
KS-067,Grant County,32.8,29.9,40.3,54.9,59.7,71.8,79,79.2,75.7,50.1,40.4,37
KS-069,Gray County,32.2,28.8,39.2,55,59.5,71.8,79,79.3,76,49.7,40.7,36.8
KS-071,Greeley County,31.9,25.9,37.2,52.1,56.6,69.4,77.4,76.2,72.6,46.9,38.6,35.4
KS-073,Greenwood County,32,31.1,41.7,57.1,63,73.3,77.7,77,75.5,53.7,41.1,38.2
KS-075,Hamilton County,32.6,28.2,38.8,53.1,58,70.5,78.4,78,74.2,48.8,39.4,36
KS-077,Harper County,34.8,32.7,43.5,57.4,63.2,74.8,80.4,80.1,78,54.5,42.8,39
KS-079,Harvey County,32.2,30.3,41.7,56.5,62.7,74.7,80.3,78.7,77.7,53.5,41.8,37.8
KS-081,Haskell County,32.6,29.7,39.9,55.2,60,72,78.8,79.3,76,50.2,40.7,36.8
KS-083,Hodgeman County,32.2,28.3,39.5,55.4,59.6,72.4,79.6,79.2,76.6,50.1,40.8,37
KS-085,Jackson County,27.6,24.7,37.8,55,61.6,73,77.9,75.2,73.9,51.5,38.8,35.3
KS-087,Jefferson County,28.5,27.6,39.4,56.4,62.4,73.4,78.3,75.4,74.6,52.2,40,36.3
KS-089,Jewell County,28.8,22.4,35.8,54.1,58.6,71.5,78,75.2,73.4,49.5,39.1,34
KS-091,Johnson County,29.1,29,40.6,57,62.9,73.6,77.7,75.5,75.1,51.8,40.7,37.3
KS-093,Kearny County,32,28.2,38.6,54,58.8,71.4,78.7,78.3,75,49.3,39.7,36.3
KS-095,Kingman County,33.5,30.9,42,56.2,62.1,73.8,79.6,78.8,77,53.2,41.6,37.8
KS-097,Kiowa County,34.5,31.3,41.3,56,60.6,72.1,79,79.4,77.2,51.2,41.7,37.7
KS-099,Labette County,34.6,36,44.2,58.6,65.8,74.1,78.6,77.6,77.3,55.4,43.1,40.8
KS-101,Lane County,29.8,25.7,37.7,54.6,58.1,71.3,79,77.6,75.1,49.4,39,35.8
KS-103,Leavenworth County,28.8,28.4,40.2,56.8,62.9,73.7,78.3,75.8,75.2,51.8,40.4,36.9
KS-105,Lincoln County,30.6,25.7,38.5,55.4,60.2,72.8,79.3,77,75.4,50.8,40,36
KS-107,Linn County,31.2,31.4,41.6,57.7,64,73.6,78.1,76.6,76,53.9,41.1,39
KS-109,Logan County,30.9,24.7,37,53.2,57,70.7,78.6,76.4,73.5,48.3,38.7,35.7
KS-111,Lyon County,30.8,28.4,40.3,56.4,62.1,73,77.4,75.9,74.5,52.8,40.1,37.3
KS-113,McPherson County,31.8,28.8,40.6,56,62,74.2,79.8,78.1,76.9,52.5,41.3,36.7
KS-115,Marion County,31.2,28.8,40.3,56.2,62,73.8,78.8,77.3,76.2,52.9,40.6,37
KS-117,Marshall County,26.8,21.6,35.3,54,59.8,72,77.9,74.2,73.4,49.5,37.3,33.8
KS-119,Meade County,34.1,31.7,41.7,56.2,61.2,72.5,79.7,80.5,76.8,51.4,41.7,38
KS-121,Miami County,30,29.9,41,57.4,63.4,73.4,77.7,75.8,75.2,52.8,41,38
KS-123,Mitchell County,29.4,23.8,37.1,54.6,59.2,72.1,78.6,75.7,74.2,49.6,39.2,35
KS-125,Montgomery County,34.4,35.6,44.4,59.1,65.8,74.5,78.9,78,77.4,55.5,43.3,41
KS-127,Morris County,30.3,27.5,39.1,55.5,61.5,72.9,77.6,76,74.8,52.2,39.7,36.4
KS-129,Morton County,34.5,32.1,41,55.1,59.6,71.5,79.4,79.1,75.3,50.5,41.4,38.4
KS-131,Nemaha County,26.2,22,35.7,53.9,60.1,71.9,77.1,73.9,72.7,49.9,37.5,33.9
KS-133,Neosho County,33.1,33.8,43,57.8,64.6,73.6,78,76.8,76.4,54.7,42,39.8
KS-135,Ness County,30.6,26.3,38.4,54.8,58.9,72.3,79.2,77.8,75.8,50,39.7,36.2
KS-137,Norton County,27.6,21.7,35.6,53,56.5,70.6,78,75,72.1,48.3,37.5,33.8
KS-139,Osage County,30.7,29.2,40.5,56.4,62.8,73.7,78.3,76.2,75.2,53.3,40.8,38
KS-141,Osborne County,29.3,23.8,37.1,54.3,58.7,72,78.8,76.2,74.2,49.5,39.2,34.9
KS-143,Ottawa County,30.4,25.9,39.1,56.3,61.2,73.5,79.7,77,76,51.5,40.4,35.8
KS-145,Pawnee County,31.6,27.7,39.2,54.7,59.2,71.7,78.4,77.8,75.6,49.9,39.8,36.6
KS-147,Phillips County,28.2,22.1,35.8,53.6,57.7,71.4,78.1,75.6,72.9,48.9,38.4,34
KS-149,Pottawatomie County,28.1,24.8,37.6,55.3,61,72.6,78,75.4,74.6,51.5,38.8,35.3
KS-151,Pratt County,33.5,30.3,41.3,55.5,61,72.7,79.1,78.8,76.6,51.5,41.2,37.2
KS-153,Rawlins County,30.9,23,35.8,52.4,54.8,69.2,76.9,73.9,71.3,47.3,38.1,34.3
KS-155,Reno County,32.6,29.7,40.9,55.7,61.6,73.7,79.8,78.4,76.8,52.3,41,37
KS-157,Republic County,28.1,22,35.7,54.5,59.3,72,78.1,75.1,74,49.9,38.8,33.8
KS-159,Rice County,31.8,28.1,39.8,55.2,60.6,73.1,79.2,77.9,76,51.5,40.4,36.4
KS-161,Riley County,29.3,25.5,38.2,55.9,61.4,73,78.6,76.1,75.5,51.7,39.5,35.6
KS-163,Rooks County,29.2,23.9,36.8,54.2,58.2,71.8,78.7,76.2,74.1,49.5,39.1,35.1
KS-165,Rush County,30.8,26.3,38.2,54.8,59,71.9,78.6,77,75.4,49.7,39.5,35.9
KS-167,Russell County,30.6,25.7,38.2,55.2,60,73,79.9,77.1,75.6,50,39.9,36
KS-169,Saline County,31.3,27.6,40.1,56.5,62.3,74.1,80.2,77.7,76.8,51.8,41.2,36.3
KS-171,Scott County,30.2,26.1,37.7,54.3,58,71.1,78.5,77.5,74.6,49.1,39,35.8
KS-173,Sedgwick County,33.2,32,42.9,57.4,63.7,74.9,80.3,79,77.9,54,42.7,38.7
KS-175,Seward County,33.8,31.8,41.6,56,61,72.5,79.4,80.2,76.5,51.1,41.4,37.9
KS-177,Shawnee County,29.1,28,40,56.8,62.7,74,78.6,76.3,75.4,52.4,40.6,36.9
KS-179,Sheridan County,30,23.2,37.1,53.8,57.1,70.7,78.2,75.5,73.4,48.7,38.2,34.7
KS-181,Sherman County,32,24.5,35.9,52,55.1,69,77.3,74.5,71.3,46.6,38.2,35.2
KS-183,Smith County,28.4,21.9,36,53.6,57.8,71.2,77.6,75.7,73,49,38.8,33.9
KS-185,Stafford County,31.8,28,39.4,54.5,60,72.2,78.8,78,75.5,50.4,40,36.7
KS-187,Stanton County,33.3,30,40.3,54.3,58.8,71.3,79.2,78.9,75.1,49.7,40.3,37.2
KS-189,Stevens County,33.8,31.6,41.2,55.8,60.6,72.3,79.4,80,76.2,50.9,41.4,38
KS-191,Sumner County,34.2,33.6,43.8,57.9,64.4,75,80.2,79.4,78.2,54.8,42.9,39.6
KS-193,Thomas County,30.8,23.7,36,52.7,55.5,69.8,77.6,74.8,72.2,47.8,37.9,34.8
KS-195,Trego County,30,24.9,37.3,54.1,58,71.4,78.8,76.4,74.4,49.4,38.8,35.7
KS-197,Wabaunsee County,29.4,26.8,39.4,56.1,61.6,73.2,78,76.1,75,52.4,39.9,36.5
KS-199,Wallace County,32.2,24.8,36.6,52.3,56.5,69.6,77.7,75.4,72.1,46.4,39,35.9
KS-201,Washington County,27.5,21.8,35.8,54.4,59.7,72.1,77.8,75,74.2,49.9,37.8,33.6
KS-203,Wichita County,31.2,26,37.4,53.2,57.6,70.4,77.9,76.8,73.6,48,38.8,35.7
KS-205,Wilson County,33.5,33.8,43.4,58.3,64.7,74,78.4,77.4,76.4,54.9,42.4,40.1
KS-207,Woodson County,32.4,31.9,42.2,57.5,63.5,73.4,77.8,76.6,75.9,54,41.4,39.1
KS-209,Wyandotte County,29,29,40.8,57,63.3,74,78.1,75.9,75.5,51.8,40.6,37.3
KY-001,Adair County,36.9,45.2,44.9,59.6,70.1,72.8,78.1,76.9,75.3,61.2,42.4,43.3
KY-003,Allen County,37.8,45.2,44.6,58.3,70,73.6,78.4,76.8,75.4,60.3,41.4,43.9
KY-005,Anderson County,33.6,41.4,41.7,57.7,67.9,71.8,78,75.6,75,59.6,40.9,41.4
KY-007,Ballard County,36.7,41.9,44.8,58.6,69.4,74.6,79.2,78.2,76.8,59.4,42,42.7
KY-009,Barren County,37,44.2,43.7,58.5,69.8,73.4,78.2,76.5,75,59.8,41.1,43.5
KY-011,Bath County,33.1,40.6,41.7,56.3,67,69.6,76.2,73.7,73.3,59.7,40.1,40.1
KY-013,Bell County,35.1,43.3,43,56.2,66.8,69.1,74.2,73.1,71.8,59.4,40.9,41.4
KY-015,Boone County,30.9,38.2,40.6,56.4,66.3,71.1,77.9,75.3,74.6,59.3,40.1,40
KY-017,Bourbon County,33.2,40.7,41.5,56.8,67.3,70.5,76.8,74.5,73.5,59.6,40.2,40.1
KY-019,Boyd County,34.2,41.5,42.4,57.5,68.1,71,77.4,74.8,73.5,60.1,40.5,40.3
KY-021,Boyle County,34,41.4,41.2,57.1,67.1,71.1,76.7,74.5,74.1,59.7,41.2,41.4
KY-023,Bracken County,31.8,39.2,40.7,55.4,66.4,70.3,76.8,73.6,73.2,59.1,39.8,39.4
KY-025,Breathitt County,35,43.6,43.2,58,67.7,70.7,76.4,75.5,75.7,60.4,41.4,42.3
KY-027,Breckinridge County,34.4,40.5,41.7,57.4,68.2,71.8,77,75.2,74.3,58.9,39.7,41
KY-029,Bullitt County,34,40.6,41.8,58.1,68.7,72.1,79,76.3,75.6,59.9,41.2,42.5
KY-031,Butler County,36.4,43.2,44.1,58.3,69.6,73.4,78.5,77.1,75.4,59.9,41.2,43.1
KY-033,Caldwell County,35.2,42.2,43.9,58.9,69.7,73.8,78.6,77,76.6,60.3,41,43.2
KY-035,Calloway County,36.6,42.7,44.4,57.9,70.1,74.9,79.4,78.1,77.6,60.6,41.2,42.8
KY-037,Campbell County,31.4,38.6,40.9,56.2,66.3,71.3,77.7,75,74.3,59.2,40,40.1
KY-039,Carlisle County,37,42.6,45.1,58.6,69.7,74.7,79,78,76.9,59.9,42.1,42.7
KY-041,Carroll County,32.9,39.9,41.7,57.6,67.4,71.9,78.6,76.1,75.1,59.8,40.9,40.8
KY-043,Carter County,33.2,40.6,41.5,56.3,67,69.8,76.3,73.7,72.8,59.2,39.7,39.6
KY-045,Casey County,35,43.3,43,58.5,68.4,71.7,77.1,75.2,74.5,60.4,41.7,42.3
KY-047,Christian County,37,44.8,45.5,60.1,70.2,74.5,78.4,77.6,77.1,60.9,43,44.4
KY-049,Clark County,33.8,41.5,42.2,57.3,67.7,70.7,77,74.8,74,60,40.8,40.6
KY-051,Clay County,35.7,44.2,43.6,58,68.2,71.1,76.2,75.3,74.2,60.2,41.6,42.6
KY-053,Clinton County,38.1,46.4,46.1,59.8,69.9,72.7,77.9,76.7,75.4,61.6,43.6,44.4
KY-055,Crittenden County,35.1,40.9,43.5,58,68.9,73.4,78.4,76.7,76.2,59.7,40.4,42
KY-057,Cumberland County,38.4,46.4,46.1,59.9,70.3,73.2,78.4,77,75.9,61.6,43.6,44.6
KY-059,Daviess County,34,40,42.5,57.9,68.5,73.1,78,76.1,75.4,59.2,40,41.6
KY-061,Edmonson County,36.6,43.4,43.4,58.8,70,73.4,78.3,77,75.5,60.2,42,43.6
KY-063,Elliott County,33.7,41.1,41.8,56.3,66.7,69.5,75.8,73.5,73,59.4,40.1,40.1
KY-065,Estill County,34.6,42.6,43,58,68.1,71,76.9,75.2,74.9,60.6,41.4,41.6
KY-067,Fayette County,33.5,41.4,41.8,57.5,67.7,71.1,77.1,75,74.3,59.8,40.8,40.6
KY-069,Fleming County,32.2,39.7,41,55.4,66.6,69.5,76,73,72.8,59.1,39.5,39.5
KY-071,Floyd County,36.7,44.3,44.3,57.8,68.4,70.8,76.8,75.1,74.2,61.1,42.4,42.6
KY-073,Franklin County,33.4,41.5,42.1,58,68.1,72.2,78.4,76,75.2,59.7,41,41.4
KY-075,Fulton County,37.7,43.3,45.4,58.4,70.2,74.7,78.1,77.4,77.1,60.7,42,42.4
KY-077,Gallatin County,32.6,39.6,41.5,57.4,67,71.7,78.5,76.1,75.1,60,41,40.8
KY-079,Garrard County,34.2,42,42.1,57.9,67.8,71.5,76.8,75,74.9,60.3,41.5,41.6
KY-081,Grant County,32.2,39.5,41,56.8,66.8,71.1,77.7,75.3,74.4,59.5,40.4,40.3
KY-083,Graves County,37,42.8,44.7,58.2,69.8,74.6,79.1,77.8,77.2,60.1,41.6,42.7
KY-085,Grayson County,35.6,42,42.4,58,69.3,72.7,77.6,76,74.7,59.4,40.8,42.2
KY-087,Green County,36.3,43.7,43.5,58.9,69.7,72.8,78.1,76.7,75.2,60.5,41.8,43.1
KY-089,Greenup County,33,40.4,41.7,56.5,67.5,70.5,77.2,74.4,72.8,59.4,39.8,39.4
KY-091,Hancock County,33.9,39.6,41.7,57.2,67.7,71.6,76.8,75.3,74.3,58.7,39.4,40.8
KY-093,Hardin County,34.4,40.8,41.5,57.7,68.5,71.7,77.6,75.5,74.6,59.3,40.7,42
KY-095,Harlan County,35,41.7,42.7,55.1,65.7,67.4,72.4,71.1,70.5,58.4,40.3,40.9
KY-097,Harrison County,32.8,40.2,41.1,56.6,67,70.7,77,74.6,73.6,59.4,40.1,40
KY-099,Hart County,36,42.9,42.8,58.4,69.6,72.9,77.8,76.4,75.1,59.9,41.5,43.1
KY-101,Henderson County,33.4,39.2,42.3,57.5,68.5,73.7,78.7,76.6,76.2,59.3,39.8,41.3
KY-103,Henry County,32.8,40.4,41.6,57.6,67.7,72,78.2,75.8,75.1,59.4,40.7,40.9
KY-105,Hickman County,37.4,43,45.1,58.3,69.9,74.6,78.5,77.5,76.9,60.2,41.9,42.6
KY-107,Hopkins County,35.6,42.4,44.2,59.4,69.9,74.3,78.9,77.3,77.1,60.7,41.6,43.6
KY-109,Jackson County,34.6,42.8,42.7,57.7,67.5,70.6,75.7,74.5,74.2,59.7,41.1,41.7
KY-111,Jefferson County,33.8,40.6,42.3,58.3,68.8,73,79.2,76.9,76.6,59.9,41.1,42.4
KY-113,Jessamine County,33.9,41.8,42,57.8,67.9,71.6,77.3,75.2,74.9,60.1,41.4,41.2
KY-115,Johnson County,35.8,43.4,43.3,57.3,67.6,70.4,76.6,74.7,73.8,60.7,41.8,41.7
KY-117,Kenton County,31,38.4,40.6,56.2,66.2,71,77.6,75.1,74.4,59.2,40,40
KY-119,Knott County,35.8,43.5,43.8,57.2,67.6,69.9,75.4,74.2,73.8,60.1,41.4,42.2
KY-121,Knox County,36.2,44.6,43.9,57.6,68.2,71,76,75,73.4,60.3,41.6,42.8
KY-123,Larue County,34.6,41.4,41.7,57.8,68.4,71.5,77.4,75.5,74.5,59.6,41,42.2
KY-125,Laurel County,35.8,44,43.8,58.2,68.3,71.4,76.2,75.2,74.2,60.1,41.8,43
KY-127,Lawrence County,35.2,42.6,43,57.4,67.8,70.6,76.8,74.7,73.7,60.4,41.1,41.2
KY-129,Lee County,34.8,43.1,43.1,58,67.8,70.8,76.6,75.4,75.3,60.4,41.4,41.9
KY-131,Leslie County,35.6,43.6,43.5,57.2,67.4,69.9,75.1,74.1,73.3,59.8,41.2,42.2
KY-133,Letcher County,35.9,42.7,43.8,56.2,67.1,68.8,73.8,72.5,71.9,59.3,41,42
KY-135,Lewis County,32,39.4,41,55.1,66.5,69.6,76.3,73,72.5,58.8,39.3,39.1
KY-137,Lincoln County,34.2,42.3,42.2,57.9,67.6,71.2,76.4,74.6,74.4,60,41.4,41.8
KY-139,Livingston County,35.8,41.1,44.1,58.2,69,73.8,78.8,77.1,76.4,59.6,41.5,42.4
KY-141,Logan County,37.1,44.4,44.9,58.4,69.8,73.4,78.3,76.9,75.9,60.2,41.6,43.8
KY-143,Lyon County,35.6,42.1,44.2,58.6,69.8,74.2,79,77.4,76.8,60.2,41.5,43.1
KY-145,McCracken County,36.6,42.2,44.7,58.8,69.4,74.6,79.4,78.1,76.9,59.7,42.2,42.8
KY-147,McCreary County,37,44.9,45.1,58.4,68.7,71.6,76.3,74.8,73.8,60.5,42.3,43.4
KY-149,McLean County,35,41.2,43.4,58.6,69.3,74.1,78.8,77,76.4,60.1,40.8,42.7
KY-151,Madison County,34.4,42.2,42.6,58,68.1,71.4,77,75.2,74.9,60.4,41.5,41.5
KY-153,Magoffin County,35.2,43.1,43,57.3,67.3,70.2,76.1,74.7,74.4,60.2,41.4,41.7
KY-155,Marion County,34.6,41.9,41.9,57.8,68.1,71.4,77.6,75.3,74.6,60,41.2,42
KY-157,Marshall County,36.4,42.1,44.6,58.4,70,74.9,79.7,78.1,77.4,60.3,41.8,42.9
KY-159,Martin County,36.3,43.9,43.9,57.8,68.4,70.9,77.1,75.1,74.1,61.1,42,42.6
KY-161,Mason County,31.6,39.2,40.8,54.8,66.4,69.9,76.3,72.8,72.7,58.8,39.5,39.1
KY-163,Meade County,33.6,39.8,41.4,57.2,67.8,71.6,77.2,75.2,74.5,58.7,39.8,41.1
KY-165,Menifee County,33.4,41,41.8,56.4,66.8,69.3,75.7,73.6,73.4,59.5,40.1,40.3
KY-167,Mercer County,33.9,41.5,41.5,57.5,67.6,71.5,77.4,75.1,74.7,59.9,41.2,41.4
KY-169,Metcalfe County,36.7,44.2,43.8,58.6,69.5,72.8,77.6,76,74.6,59.9,41.1,43
KY-171,Monroe County,37.6,45.2,44.5,58.3,69.4,72.8,77.6,76,74.9,59.9,41.6,43.7
KY-173,Montgomery County,33.6,41.1,42,56.8,67.4,70,76.6,74.2,73.3,59.8,40.4,40.3
KY-175,Morgan County,34,41.7,42.1,56.6,66.8,69.6,75.8,73.9,73.8,59.7,40.5,40.8
KY-177,Muhlenberg County,36,42.7,44.4,58.7,69.3,73.8,78.5,77.1,75.8,60.1,41.1,43.2
KY-179,Nelson County,34.1,41.1,41.6,57.8,68.2,71.5,78.4,75.8,75,59.9,41,42.1
